@relation ’apprentissage’
@attribute ’laire’ NUMERIC
@attribute ’entropie2’ NUMERIC
@attribute ’class’ {'homogene','complexe'}
@data
%aigle_royal_01
174.5,0.5291385216131671,'homogene'  
188.5,0.5702435801531769,'homogene' 
189.0,0.518541369013069,'homogene'  
189.5,0.5169118155981146,'homogene'  
189.5,0.4959451275532647,'homogene'  
186.5,0.7219280948873623,'homogene'  
182.0,0.5548922086182803,'homogene'  
179.5,0.6955237026383808,'homogene'  
180.0,0.5946593553293886,'homogene'  
178.5,0.6532264379008959,'homogene'  
181.0,0.532046584794181,'homogene'  
177.5,0.669591945535779,'homogene'  
172.5,1.0,'homogene'  
